,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-05 06:30:00,6712.88,6129.96,1427.84,1158.23,4045.08
2024-01-05 07:00:00,6721.16,6144.53,1343.63,1161.65,3985.42
2024-01-05 07:30:00,6821.04,6085.23,1252.11,1148.88,3876.71
2024-01-05 08:00:00,6847.08,6234.64,1159.82,1122.71,3783.46
2024-01-05 08:30:00,6699.0,6415.28,1054.72,1120.84,3627.19
2024-01-05 09:00:00,6606.99,6471.21,932.76,1102.01,3505.98
2024-01-05 09:30:00,6562.28,6453.55,942.71,1078.58,3393.19
2024-01-05 10:00:00,6554.01,6453.9,950.14,1051.42,3352.83
2024-01-05 10:30:00,6290.93,6499.08,873.42,1025.16,3263.95
2024-01-05 11:00:00,6178.23,6401.93,840.76,1017.84,3288.78
2024-01-05 11:30:00,6216.94,6417.18,822.73,1010.61,3435.67
2024-01-05 12:00:00,6238.98,6378.64,837.23,981.52,3532.44
2024-01-05 12:30:00,6212.68,6346.99,877.17,965.4,3492.55
2024-01-05 13:00:00,6130.8,6557.08,926.21,969.89,3536.93
2024-01-05 13:30:00,6277.22,6818.24,998.53,1000.05,3677.6
2024-01-05 14:00:00,6362.84,7052.4,1107.72,1021.02,3776.54
2024-01-05 14:30:00,6412.82,7164.77,1211.63,1033.63,3930.88
2024-01-05 15:00:00,6516.89,7421.82,1314.08,1023.35,4055.02
2024-01-05 15:30:00,6769.8,7627.78,1424.72,1030.67,4302.37
2024-01-05 16:00:00,6834.07,7880.55,1568.69,1074.09,4592.31
2024-01-05 16:30:00,7155.8,8223.29,1705.43,1117.56,4864.18
2024-01-05 17:00:00,7599.55,8371.22,1891.93,1147.21,5211.14
2024-01-05 17:30:00,7736.22,8436.86,2065.61,1169.79,5451.32
2024-01-05 18:00:00,7898.12,8432.33,2192.37,1185.38,5602.39
2024-01-05 18:30:00,7933.13,8537.01,2157.04,1181.63,5656.11
2024-01-05 19:00:00,7922.09,8545.98,2116.13,1166.56,5580.91
2024-01-05 19:30:00,7895.23,8404.26,2046.69,1162.58,5408.97
2024-01-05 20:00:00,7805.7,8291.2,2007.63,1153.0,5226.69
2024-01-05 20:30:00,7649.21,8103.42,1973.8,1138.8,5041.62
2024-01-05 21:00:00,7626.34,7846.4,1904.07,1165.71,4832.03
2024-01-05 21:30:00,7600.34,7636.53,1827.49,1144.7,4624.9
2024-01-05 22:00:00,7445.4,7377.61,1757.81,1117.9,4454.71
2024-01-05 22:30:00,7274.74,7166.06,1671.57,1080.46,4346.4
2024-01-05 23:00:00,7159.27,6942.26,1610.8,1048.94,4407.25
2024-01-05 23:30:00,7019.96,6733.86,1637.85,1056.12,4377.7
2024-01-06 00:00:00,6878.04,6537.93,1635.05,1043.19,4218.9
2024-01-06 00:30:00,6636.42,6366.74,1615.03,1022.31,4095.28
2024-01-06 01:00:00,6393.33,6266.13,1558.39,1012.86,3983.56
2024-01-06 01:30:00,6248.24,6177.46,1495.43,1005.44,3842.39
2024-01-06 02:00:00,6121.01,6065.93,1441.01,1007.22,3755.79
2024-01-06 02:30:00,6018.87,5971.34,1414.24,994.64,3694.93
2024-01-06 03:00:00,5944.56,5976.03,1394.28,990.08,3668.02
2024-01-06 03:30:00,5959.86,5962.46,1387.5,990.48,3665.64
2024-01-06 04:00:00,5999.85,5957.22,1365.45,975.3,3709.62
2024-01-06 04:30:00,6047.38,5942.54,1369.01,972.37,3712.94
2024-01-06 05:00:00,6083.68,5951.79,1367.56,1004.53,3716.49
2024-01-06 05:30:00,6088.53,5824.72,1368.19,1017.02,3667.34
2024-01-06 06:00:00,6048.73,5711.02,1356.21,1016.11,3596.87
2024-01-06 06:30:00,5990.63,5548.74,1353.14,1026.82,3495.6
2024-01-06 07:00:00,5959.69,5500.71,1236.29,1045.1,3325.83
2024-01-06 07:30:00,5769.43,5422.19,1303.23,1033.7,3205.16
2024-01-06 08:00:00,5630.28,5345.05,1424.14,1013.15,3113.21
2024-01-06 08:30:00,5474.0,5518.26,1480.37,964.35,2938.69
2024-01-06 09:00:00,5442.26,5646.37,1493.46,952.33,2822.02
2024-01-06 09:30:00,5376.55,5512.54,1508.33,915.53,2725.94
2024-01-06 10:00:00,5298.85,5526.7,1512.55,896.13,2767.87
2024-01-06 10:30:00,5090.28,5543.89,1524.85,874.03,2810.05
2024-01-06 11:00:00,4919.47,5468.67,1465.4,852.11,2885.16
2024-01-06 11:30:00,5069.28,5542.39,1396.14,854.54,3061.75
2024-01-06 12:00:00,5016.93,5674.72,1458.37,786.49,3265.42
2024-01-06 12:30:00,5045.16,5768.47,1438.79,833.45,3514.86
2024-01-06 13:00:00,5113.04,5894.7,1373.66,845.42,3741.64
2024-01-06 13:30:00,5287.2,5816.45,1323.21,861.11,4025.76
2024-01-06 14:00:00,5402.54,5821.27,1168.32,894.17,4390.23
2024-01-06 14:30:00,5584.45,6051.91,1026.07,870.86,4650.6
2024-01-06 15:00:00,5864.97,6115.63,965.77,899.78,4882.48
2024-01-06 15:30:00,6159.77,6457.15,1014.23,932.11,5297.82
2024-01-06 16:00:00,6590.78,6686.99,984.44,959.04,5536.93
2024-01-06 16:30:00,6957.76,7061.43,936.41,1000.12,5693.34
2024-01-06 17:00:00,7341.13,7237.38,1117.32,1019.71,5974.52
2024-01-06 17:30:00,7657.3,7413.37,1315.98,994.74,6187.04
2024-01-06 18:00:00,7821.94,7491.62,1472.1,1088.65,6221.8
2024-01-06 18:30:00,7842.35,7609.01,1644.88,1133.23,6158.32
2024-01-06 19:00:00,7870.73,7663.0,1653.21,1111.77,6122.52
2024-01-06 19:30:00,7898.57,7590.02,1646.96,1068.77,6051.7
2024-01-06 20:00:00,7774.42,7518.51,1656.37,1063.53,5972.79
2024-01-06 20:30:00,7629.94,7333.44,1532.22,1063.71,5803.75
2024-01-06 21:00:00,7530.18,7130.78,1451.53,1041.07,5555.78
2024-01-06 21:30:00,7463.88,7040.98,1413.78,1012.59,5332.08
2024-01-06 22:00:00,7325.06,6796.03,1386.33,993.63,5156.64
2024-01-06 22:30:00,7108.89,6692.9,1361.65,957.34,5037.31
2024-01-06 23:00:00,6925.42,6507.73,1329.03,935.98,5020.49
2024-01-06 23:30:00,6803.59,6333.34,1388.77,914.17,4902.81
2024-01-07 00:00:00,6663.36,6177.9,1378.36,879.89,4679.23
2024-01-07 00:30:00,6468.66,6051.85,1406.39,863.2,4488.5
2024-01-07 01:00:00,6288.56,5967.76,1372.33,874.81,4327.49
2024-01-07 01:30:00,6092.34,5921.08,1300.47,864.59,4118.73
2024-01-07 02:00:00,5990.14,5834.55,1254.82,856.88,4036.98
2024-01-07 02:30:00,5949.92,5814.54,1256.75,837.92,3994.09
2024-01-07 03:00:00,5873.08,5731.14,1223.07,841.91,3968.05
2024-01-07 03:30:00,5853.54,5713.23,1185.82,865.55,3922.72
2024-01-07 04:00:00,5906.7,5710.36,1189.58,870.44,3925.0
2024-01-07 04:30:00,5963.18,5696.33,1200.6,870.46,3894.92
2024-01-07 05:00:00,5908.08,5651.02,1186.64,870.33,3897.91
2024-01-07 05:30:00,5883.19,5549.78,1178.73,888.41,3927.62
2024-01-07 06:00:00,5850.72,5449.53,1177.72,895.05,3943.05
2024-01-07 06:30:00,5806.82,5237.0,1169.92,920.99,3889.7
2024-01-07 07:00:00,5633.74,5104.43,1160.68,884.57,3873.32
2024-01-07 07:30:00,5397.58,4938.64,1123.6,920.31,3793.75
2024-01-07 08:00:00,5387.26,4826.62,1086.5,937.27,3810.23
2024-01-07 08:30:00,5368.52,4733.68,1044.52,921.97,3944.81
2024-01-07 09:00:00,5231.34,4711.3,987.4,943.83,4074.96
2024-01-07 09:30:00,5060.07,4810.0,1042.93,965.44,4257.56
2024-01-07 10:00:00,5009.08,4972.84,1010.23,950.88,4383.42
2024-01-07 10:30:00,4986.24,5043.46,953.92,942.98,4406.54
2024-01-07 11:00:00,5010.27,5014.95,972.78,924.25,4457.97
2024-01-07 11:30:00,5058.62,5112.76,1294.6,941.9,4608.92
2024-01-07 12:00:00,5184.38,5193.39,1197.66,953.56,4670.46
2024-01-07 12:30:00,5464.7,5287.94,733.62,980.71,4544.5
2024-01-07 13:00:00,5658.89,5366.34,593.49,989.44,4436.55
2024-01-07 13:30:00,5889.12,5475.12,533.15,1023.14,4405.04
2024-01-07 14:00:00,6050.07,5708.21,448.32,1041.88,4392.73
2024-01-07 14:30:00,6262.76,6000.62,487.94,1035.88,4461.74
2024-01-07 15:00:00,6516.68,6371.68,613.56,1081.68,4579.53
2024-01-07 15:30:00,6954.5,6694.53,760.47,1103.86,4664.81
2024-01-07 16:00:00,7480.38,6925.33,933.22,1125.07,4663.31
2024-01-07 16:30:00,8028.62,7160.06,1137.6,1167.2,4743.65
2024-01-07 17:00:00,8269.17,7403.21,1287.63,1142.43,4813.71
2024-01-07 17:30:00,8618.58,7658.02,1346.76,1047.7,4818.88
2024-01-07 18:00:00,8746.55,7834.08,1406.68,1124.99,4793.06
2024-01-07 18:30:00,8705.76,7888.31,1448.54,1153.47,4820.35
2024-01-07 19:00:00,8581.07,7914.32,1467.8,1161.62,4811.85
2024-01-07 19:30:00,8522.94,7812.15,1471.6,1150.51,4852.23
2024-01-07 20:00:00,8341.54,7708.48,1459.82,1161.54,4879.29
2024-01-07 20:30:00,8158.75,7514.79,1433.66,1128.93,4791.67
2024-01-07 21:00:00,7944.06,7317.8,1401.63,1114.34,4668.93
2024-01-07 21:30:00,7837.7,7117.67,1363.35,1096.66,4568.22
2024-01-07 22:00:00,7625.41,6936.52,1329.96,1096.63,4451.5
2024-01-07 22:30:00,7436.16,6724.45,1286.64,1075.62,4377.08
2024-01-07 23:00:00,7209.83,6582.93,1258.56,1058.55,4495.33
2024-01-07 23:30:00,7096.44,6381.52,1318.21,1039.18,4516.27
2024-01-08 00:00:00,6905.68,6252.71,1325.25,1046.51,4347.77
2024-01-08 00:30:00,6717.24,6131.0,1360.98,1024.58,4224.96
2024-01-08 01:00:00,6565.6,6057.67,1321.05,1034.44,4131.97
2024-01-08 01:30:00,6383.63,5970.36,1274.82,1045.27,4012.75
2024-01-08 02:00:00,6302.66,5933.48,1247.77,1036.46,3902.19
2024-01-08 02:30:00,6254.88,5871.73,1247.22,1027.65,3843.0
2024-01-08 03:00:00,6240.01,5874.49,1217.06,1016.59,3813.48
2024-01-08 03:30:00,6238.44,5885.94,1218.29,1028.33,3839.99
2024-01-08 04:00:00,6381.77,5944.71,1218.35,1026.04,3916.46
2024-01-08 04:30:00,6507.18,5969.72,1231.84,1043.79,4025.41
2024-01-08 05:00:00,6677.71,6113.8,1259.2,1067.84,4244.78
2024-01-08 05:30:00,6910.84,6193.84,1296.23,1101.46,4397.38
2024-01-08 06:00:00,7060.94,6302.94,1344.53,1114.59,4597.02
2024-01-08 06:30:00,7314.8,6382.56,1367.52,1139.17,4779.87
2024-01-08 07:00:00,7449.53,6374.9,1343.1,1159.59,4942.54
2024-01-08 07:30:00,7614.62,6359.02,1294.75,1158.85,5075.69
